player,game,game_time,market,line,bookmaker,under_odds,over_odds
Trae Young,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,2.5,draftkings,110,-140
Tyrese Maxey,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,2.5,draftkings,110,-140
Trae Young,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,2.5,fanduel,110,-146
Mouhamed Gueye,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,0.5,williamhill_us,120,-166
Onyeka Okongwu,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,0.5,williamhill_us,-184,133
Zaccharie Risacher,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,1.5,williamhill_us,-103,-133
Dyson Daniels,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,0.5,williamhill_us,120,-166
Trae Young,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,2.5,williamhill_us,104,-142
Tyrese Maxey,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,2.5,williamhill_us,104,-142
Trae Young,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,2.5,betonlineag,108,-141
Tyrese Maxey,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,2.5,betonlineag,-108,-120
Dyson Daniels,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,0.5,betonlineag,123,-161
Zaccharie Risacher,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,1.5,betonlineag,-105,-123
Onyeka Okongwu,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,0.5,betonlineag,-172,132
Mouhamed Gueye,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,0.5,betonlineag,118,-154
Trae Young,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,2.5,betrivers,123,-165
Dyson Daniels,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,0.5,bovada,120,-160
Mouhamed Gueye,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,0.5,bovada,120,-160
Onyeka Okongwu,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,0.5,bovada,-170,130
Trae Young,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,2.5,bovada,105,-135
Tyrese Maxey,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,2.5,bovada,105,-135
Zaccharie Risacher,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,1.5,bovada,-105,-125
Tyrese Maxey,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,2.5,betmgm,105,-145
Trae Young,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,2.5,betmgm,105,-145
Dyson Daniels,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,0.5,betmgm,120,-160
Onyeka Okongwu,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,0.5,betmgm,-175,130
Zaccharie Risacher,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,1.5,betmgm,-105,-125
Mouhamed Gueye,Philadelphia 76ers @ Atlanta Hawks,2025-03-10T23:40:00Z,player_threes,0.5,betmgm,120,-155
Keyonte George,Utah Jazz @ Boston Celtics,2025-03-10T23:30:00Z,player_threes,2.5,fanduel,100,-132
Jayson Tatum,Utah Jazz @ Boston Celtics,2025-03-10T23:30:00Z,player_threes,3.5,fanduel,108,-144
Jaylen Brown,Utah Jazz @ Boston Celtics,2025-03-10T23:30:00Z,player_threes,1.5,fanduel,140,-188
Derrick White,Utah Jazz @ Boston Celtics,2025-03-10T23:30:00Z,player_threes,3.5,fanduel,-106,-125
Jrue Holiday,Utah Jazz @ Boston Celtics,2025-03-10T23:30:00Z,player_threes,1.5,fanduel,120,-160
Jayson Tatum,Utah Jazz @ Boston Celtics,2025-03-10T23:30:00Z,player_threes,3.5,draftkings,124,-160
Derrick White,Utah Jazz @ Boston Celtics,2025-03-10T23:30:00Z,player_threes,3.5,draftkings,114,-145
Keyonte George,Utah Jazz @ Boston Celtics,2025-03-10T23:30:00Z,player_threes,2.5,draftkings,110,-140
Al Horford,Utah Jazz @ Boston Celtics,2025-03-10T23:30:00Z,player_threes,2.5,draftkings,-188,145
Jaylen Brown,Utah Jazz @ Boston Celtics,2025-03-10T23:30:00Z,player_threes,1.5,draftkings,140,-180
Jayson Tatum,Utah Jazz @ Boston Celtics,2025-03-10T23:30:00Z,player_threes,3.5,williamhill_us,120,-166
Keyonte George,Utah Jazz @ Boston Celtics,2025-03-10T23:30:00Z,player_threes,2.5,williamhill_us,104,-142
