player,game,game_time,market,line,bookmaker,under_odds,over_odds
LaMelo Ball,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,3.5,draftkings,110,-140
Trae Young,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,2.5,draftkings,130,-166
Georges Niang,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,2.5,draftkings,-115,-115
Miles Bridges,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,2.5,draftkings,-120,-110
Caris LeVert,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,2.5,draftkings,-188,145
Zaccharie Risacher,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,1.5,draftkings,110,-140
Josh Green,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,1.5,draftkings,-188,145
Miles Bridges,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,2.5,fanduel,-136,102
Josh Green,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,1.5,fanduel,-205,152
LaMelo Ball,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,3.5,fanduel,112,-148
Trae Young,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,2.5,fanduel,112,-148
Zaccharie Risacher,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,1.5,fanduel,-102,-130
Trae Young,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,2.5,betrivers,114,-152
Zaccharie Risacher,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,1.5,betrivers,-108,-124
LaMelo Ball,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,3.5,betrivers,-103,-130
Miles Bridges,Charlotte Hornets @ Atlanta Hawks,2025-03-12T23:40:00Z,player_threes,2.5,betrivers,-115,-115
